DebugName, OpType, SelectedBackend, backend_0, backend_1, backend_2, backend_3, est_time_0, est_time_1, est_time_2, est_time_3, invalid_0, invalid_1, invalid_2, invalid_3, 
ios17.conv:36:12, ios17.conv, "ane", ane, bnns, classic_cpu, mps_graph, 0.002422438763619039, 0.04860141197108771, 0.05590224360563986, 0.01963558059995664, , , , 
ios17.add:37:12, ios17.add, "ane", ane, bnns, classic_cpu, mps_graph, 0.0045684465656314, 0.01034184682028603, 0.01189538366918966, 0.007373320980688763, , , , 
ios17.conv:38:12, ios17.conv, "ane", ane, bnns, classic_cpu, mps_graph, 0.01124200936431636, 0.178560586900209, 0.2053836965248841, 0.08281572477674803, , , , 
ios16.relu:39:12, ios16.relu, "ane", ane, bnns, classic_cpu, mps_graph, 0.00602112, 0.00602112, 0.00602112, 0.00602112, , , , 
ios17.conv:40:12, ios17.conv, "ane", ane, bnns, classic_cpu, mps_graph, 0.002422438763619039, 0.04860141197108771, 0.05590224360563986, 0.01963558059995664, , , , 
ios17.add:41:12, ios17.add, "ane", ane, bnns, classic_cpu, mps_graph, 0.0045684465656314, 0.01034184682028603, 0.01189538366918966, 0.007373320980688763, , , , 
ios17.conv:42:12, ios17.conv, "ane", ane, bnns, classic_cpu, mps_graph, 0.004882629819658113, 0.09796024854432224, 0.1126756910077312, 0.03957717024822429, , , , 
ios16.relu:43:12, ios16.relu, "ane", ane, bnns, classic_cpu, mps_graph, 0.01204224, 0.01204224, 0.01204224, 0.01204224, , , , 
ios17.conv:44:12, ios17.conv, "ane", ane, bnns, classic_cpu, mps_graph, 0.003274032214503815, 0.04557880324327124, 0.05242558117865291, 0.01253630062713254, , , , 
ios16.relu:45:12, ios16.relu, "ane", ane, bnns, classic_cpu, mps_graph, 0.00301056, 0.00301056, 0.00301056, 0.00301056, , , , 
ios17.conv:46:12, ios17.conv, "ane", ane, bnns, classic_cpu, mps_graph, 0.002419292739250702, 0.04853829325424214, 0.0558296432892689, 0.01961007984593072, , , , 
ios17.conv:47:12, ios17.conv, "ane", ane, bnns, classic_cpu, mps_graph, 0.002428730812355711, 0.04872764940477885, 0.05604744423838178, 0.01968658210800848, , , , 
